,Wavelength,a,Jerlov,Averaged1,Averaged2,StdDev1,StdDev2,Avg1,Avg2,Tot_Wavs,Tot_Depths
0,412,0.0123,b_IA,1,1,,,,,,
1,440,0.023399999999999997,b_IA,1,1,,,,,,
2,488,0.013300000000000001,b_IA,1,1,,,,,,
3,510,0.0419,b_IA,1,1,,,,,,
4,555,0.06560000000000002,b_IA,1,1,,,,,,
5,630,0.29849999999999993,b_IA,1,1,,,,,,
6,650,0.3449,b_IA,1,1,,,,,,
7,676,0.4582,b_IA,1,1,,,,,,
8,412,0.04335833333333333,c_IB,6,6,0.01919979202723011,0.01919979202723011,0.04335833333333333,0.04335833333333333,7,65.0
9,440,0.04230833333333333,c_IB,6,6,0.011162153938893495,0.011162153938893495,0.04230833333333333,0.04230833333333333,7,65.0
10,488,0.028150000000000005,c_IB,6,6,0.008233417678380386,0.008233417678380386,0.028150000000000005,0.028150000000000005,7,65.0
11,510,0.04933333333333334,c_IB,6,6,0.005235986588557654,0.005235986588557654,0.04933333333333334,0.04933333333333334,7,65.0
12,532,0.06055000000000001,c_IB,2,2,0.0030500000000000006,0.0030500000000000006,0.06055000000000001,0.06055000000000001,3,25.0
13,555,0.07050000000000001,c_IB,6,6,0.0037389838191679826,0.0037389838191679826,0.07050000000000001,0.07050000000000001,7,65.0
14,630,0.299525,c_IB,4,4,0.0010709224995301921,0.0010709224995301921,0.299525,0.299525,4,40.0
15,650,0.346275,c_IB,4,4,0.000954921462739236,0.000954921462739236,0.346275,0.346275,4,40.0
16,676,0.4620250000000001,c_IB,4,4,0.0007495832175282826,0.0007495832175282826,0.4620250000000001,0.4620250000000001,4,40.0
17,412,0.07118725198412697,d_II,35,32,0.02840524069370425,0.02276064762737806,0.07319948020233732,0.07118725198412697,62,658.0
18,440,0.06570994981325864,d_II,37,34,0.021690110032207135,0.01824385810478225,0.06702924009174009,0.06570994981325864,65,688.0
19,488,0.04657812510312511,d_II,37,37,0.01851926332891018,0.01851926332891018,0.04657812510312511,0.04657812510312511,65,688.0
20,510,0.06120134803921569,d_II,37,34,0.012120897193645213,0.009133347462273282,0.06368730942480942,0.06120134803921569,65,688.0
21,532,0.07860659722222223,d_II,16,16,0.012558027537312283,0.012558027537312283,0.07860659722222223,0.07860659722222223,28,336.0
22,555,0.07702907913165266,d_II,37,34,0.011428691454218059,0.008751234876846092,0.07933441367191366,0.07702907913165266,65,688.0
23,630,0.30079912698412703,d_II,21,20,0.00350470667394916,0.002901005788825261,0.3012610733182162,0.30079912698412703,37,352.0
24,650,0.35345051510989006,d_II,33,32,0.01397899821863056,0.01267257035253303,0.3545641358641358,0.35345051510989006,56,598.0
25,676,0.46457611810232774,d_II,33,31,0.006272133023918167,0.004283928892551493,0.46576544427794425,0.46457611810232774,56,598.0
26,715,1.0339999999999998,d_II,3,3,0.0212132034355965,0.0212132034355965,1.0339999999999998,1.0339999999999998,8,120.0
27,412,0.12784547253249315,e_III,79,77,0.093876420723911,0.03127803222094328,0.1420511502421387,0.12784547253249315,265,3351.0
28,440,0.11385481896122807,e_III,81,79,0.0840241222417231,0.028812260926173547,0.12636936842936158,0.11385481896122807,271,3411.0
29,488,0.08184766917493076,e_III,81,79,0.0771013115902087,0.022991681350170982,0.09356715524860482,0.08184766917493076,271,3412.0
30,510,0.0853379913068199,e_III,81,79,0.07150291193752341,0.0196560310446186,0.09628755356830151,0.0853379913068199,271,3412.0
31,532,0.09143629190010771,e_III,35,32,0.015890386304236937,0.012353065241985584,0.09280889545152703,0.09143629190010771,87,2010.0
32,555,0.09074809844410557,e_III,81,79,0.06983343909899109,0.02080183287770397,0.1013499543810138,0.09074809844410557,271,3412.0
33,630,0.310587956413626,e_III,46,44,0.074293560238446,0.01706063939531476,0.3260203759674159,0.310587956413626,184,1400.0
34,650,0.3643770477940504,e_III,75,73,0.059065827302772995,0.01933976410300734,0.37362561752483336,0.3643770477940504,261,3311.0
35,676,0.48210140295519816,e_III,75,73,0.05731544179291658,0.017749526220027678,0.49113067969649865,0.48210140295519816,261,3311.0
36,715,1.0184222656477113,e_III,54,52,0.05298396310070628,0.019987026788000756,1.0280363922832498,1.0184222656477113,216,2864.0
37,412,0.1798814773261278,f_1C,33,32,0.047396067665635026,0.03932502482422234,0.1847123416495785,0.1798814773261278,121,1081.0
38,440,0.15854312487750183,f_1C,35,34,0.03843931180474195,0.033724015500830894,0.16185427369052557,0.15854312487750183,124,1124.0
39,488,0.10976588302174228,f_1C,35,33,0.02715476341764892,0.020537807769068755,0.1103230706585951,0.10976588302174228,125,1120.0
40,510,0.10516681931981275,f_1C,34,32,0.02215344879488109,0.01620428406891605,0.10903695739903946,0.10516681931981275,124,1122.0
41,532,0.1053588973805692,f_1C,18,17,0.017291473870762738,0.01117531285196868,0.10862229197053759,0.1053588973805692,41,577.0
42,555,0.09907747642641783,f_1C,35,33,0.01820449535346685,0.012674178579600915,0.09896352539252727,0.09907747642641783,125,1126.0
43,630,0.3142628835978836,f_1C,17,16,0.008988539093474432,0.007642535995712829,0.3129925178960473,0.3142628835978836,84,548.0
44,650,0.3660932217820695,f_1C,32,31,0.012312730570577525,0.010893277992608622,0.36500593360137984,0.3660932217820695,119,1063.0
45,676,0.5004365755149711,f_1C,32,31,0.017028836975684223,0.01489550442056582,0.4988807450301283,0.5004365755149711,119,1066.0
46,715,1.0040000000000002,f_1C,25,23,0.012208193969625492,3.370654528454959e-16,1.0076000000000003,1.0040000000000002,105,931.0
47,412,0.23493143049499007,g_3C,33,30,0.06755677426154816,0.04837273998925863,0.25051699309068365,0.23493143049499007,130,886.0
48,440,0.23078015711524355,g_3C,34,31,0.05482551801002761,0.03896730796273889,0.22921471413604294,0.23078015711524355,132,908.0
49,488,0.15234797127175376,g_3C,34,33,0.039110897510134655,0.028697445552467313,0.15705238823870651,0.15234797127175376,132,907.0
50,510,0.1391226005221731,g_3C,34,33,0.03527991327140061,0.02252146081538352,0.1438974532301266,0.1391226005221731,132,910.0
51,532,0.13838829599412933,g_3C,12,12,0.014246579066396658,0.014246579066396658,0.13838829599412933,0.13838829599412933,25,306.0
52,555,0.11832050785193643,g_3C,34,33,0.026035512710783332,0.01628053677282591,0.121890533764788,0.11832050785193643,132,910.0
53,630,0.32383774470899473,g_3C,22,21,0.02628347886789606,0.008659678034671747,0.3292679945286196,0.32383774470899473,107,604.0
54,650,0.37549711913327183,g_3C,34,33,0.022387049069940237,0.012048945391278787,0.37880126159885097,0.37549711913327183,132,910.0
55,676,0.5286381935889187,g_3C,34,33,0.036893013372821325,0.02186645142458908,0.5338518578297675,0.5286381935889187,132,908.0
56,715,1.0040000000000004,g_3C,31,28,0.01492626745997921,5.42274828129622e-16,1.0088335573476708,1.0040000000000004,125,841.0
57,412,0.43645814213564216,h_5C,8,8,0.17474932444078803,0.17474932444078803,0.43645814213564216,0.43645814213564216,25,208.0
58,440,0.32689958874458874,h_5C,8,7,0.16787696924770315,0.10396471267123651,0.3786201262626263,0.32689958874458874,25,209.0
59,488,0.21256588744588742,h_5C,8,7,0.19162107962553696,0.06492148975436361,0.2812584617003367,0.21256588744588742,26,212.0
60,510,0.18930331890331892,h_5C,8,7,0.19545541958529863,0.05148220393478675,0.2609011100589225,0.18930331890331892,26,209.0
61,532,0.17033022727272726,h_5C,6,6,0.04320421026670952,0.04320421026670952,0.17033022727272726,0.17033022727272726,18,178.0
62,555,0.15669795093795094,h_5C,8,7,0.1948935832015219,0.03311534993525371,0.22942440581409335,0.15669795093795094,26,210.0
63,630,0.542888668430335,h_5C,3,3,0.25111838443115503,0.25111838443115503,0.542888668430335,0.542888668430335,10,52.0
64,650,0.3952372510822511,h_5C,8,7,0.18071497296824537,0.030152533995972102,0.4627040398027898,0.3952372510822511,26,211.0
65,676,0.5336545165945166,h_5C,8,7,0.1791160646972967,0.06356160899466115,0.5975154103535353,0.5336545165945166,26,200.0
66,715,1.0039999999999998,h_5C,7,6,0.17569256786034104,2.026980648162706e-16,1.0757261904761903,1.0039999999999998,24,200.0
67,412,0.82006,i_7C,1,1,,,,,,
68,440,0.6457133333333334,i_7C,1,1,,,,,,
69,488,0.40992666666666666,i_7C,1,1,,,,,,
70,510,0.3545466666666667,i_7C,1,1,,,,,,
71,532,0.31138000000000005,i_7C,1,1,,,,,,
72,555,0.2729533333333333,i_7C,1,1,,,,,,
73,650,0.4147133333333334,i_7C,1,1,,,,,,
74,676,0.5175266666666667,i_7C,1,1,,,,,,
75,715,1.004,i_7C,1,1,,,,,,
